symbol,source_index,removed_hash,kept_hash,reason,url
AMZN,1,b40570e93b341d6b97961aeba6a7f192f339e7f2fe86f48ab1c5f1ea7bc9b571,b40570e93b341d6b97961aeba6a7f192f339e7f2fe86f48ab1c5f1ea7bc9b571,EXACT_DUPLICATE_RECORD,https://www.nasdaq.com/articles/here-are-top-stocks-congress-has-been-buying-lately
AMZN,14,b797ddb53dd8e3dbba12958dbe8ac04ee9e1813e40ea9f8ed6dda4dfa5c1beb9,b797ddb53dd8e3dbba12958dbe8ac04ee9e1813e40ea9f8ed6dda4dfa5c1beb9,EXACT_DUPLICATE_RECORD,https://www.nasdaq.com/articles/2-no-brainer-ai-stocks-buy-right-now-0
AMZN,15,af05f3b7ac38759cf6a2f7652e158061ab9586627267ac15265153a97b0bf495,af05f3b7ac38759cf6a2f7652e158061ab9586627267ac15265153a97b0bf495,EXACT_DUPLICATE_RECORD,https://www.nasdaq.com/articles/stock-market-sell-2-brilliant-ai-stocks-buy-hand-over-fist-right-now-according-wall-street
AMZN,16,b797ddb53dd8e3dbba12958dbe8ac04ee9e1813e40ea9f8ed6dda4dfa5c1beb9,b797ddb53dd8e3dbba12958dbe8ac04ee9e1813e40ea9f8ed6dda4dfa5c1beb9,EXACT_DUPLICATE_RECORD,https://www.nasdaq.com/articles/2-no-brainer-ai-stocks-buy-right-now-0
AMZN,17,af05f3b7ac38759cf6a2f7652e158061ab9586627267ac15265153a97b0bf495,af05f3b7ac38759cf6a2f7652e158061ab9586627267ac15265153a97b0bf495,EXACT_DUPLICATE_RECORD,https://www.nasdaq.com/articles/stock-market-sell-2-brilliant-ai-stocks-buy-hand-over-fist-right-now-according-wall-street
AMZN,18,3842933ecfffdb162f082d5619c1c09a54f02e14ff8209a06c39203b2cd4fe79,3842933ecfffdb162f082d5619c1c09a54f02e14ff8209a06c39203b2cd4fe79,EXACT_DUPLICATE_RECORD,https://www.nasdaq.com/articles/5-warren-buffett-stocks-you-can-buy-right-now-sale-and-2-id-avoid-now
AMZN,34,6864a59cf252e46dd99d56664b2afb82e8cec4da39ae1c91f2d6893f851ce02d,6864a59cf252e46dd99d56664b2afb82e8cec4da39ae1c91f2d6893f851ce02d,EXACT_DUPLICATE_RECORD,https://www.nasdaq.com/articles/new-bill-representative-donald-norcrossdonald-norcross-introduces-hr-2692-no-tax-breaks
AMZN,42,b434f1aa7285412dd15dd1dd9fd4452e65a111a7043568b5ee13039ce0a3c2f8,b434f1aa7285412dd15dd1dd9fd4452e65a111a7043568b5ee13039ce0a3c2f8,EXACT_DUPLICATE_RECORD,https://www.nasdaq.com/articles/noteworthy-etf-inflows-splg-amzn-meta-googl-0
AMZN,43,9de565a82a158ff32c9a3d18b41727a5065fd8f3dcf02e3955cf131098ef11ff,9de565a82a158ff32c9a3d18b41727a5065fd8f3dcf02e3955cf131098ef11ff,EXACT_DUPLICATE_RECORD,https://www.nasdaq.com/articles/inod-shares-surge-493-year-buy-hold-or-sell-stock
AMZN,44,19019ed718b29548606556923efd10455ecbc153537dca463c367ed4703bc29f,19019ed718b29548606556923efd10455ecbc153537dca463c367ed4703bc29f,EXACT_DUPLICATE_RECORD,https://www.nasdaq.com/articles/heres-why-amazon-amzn-strong-growth-stock-3
AMZN,45,e593c26e28b59f358f7127501dfe8b15a77ab486be9499a7f35d1b4cbe32d886,e593c26e28b59f358f7127501dfe8b15a77ab486be9499a7f35d1b4cbe32d886,EXACT_DUPLICATE_RECORD,https://www.nasdaq.com/articles/fund-update-mission-wealth-management-lp-just-disclosed-new-holdings
AMZN,46,2056434fffcc87796e57ad531639bdd988f13b3259c662ae61bd45dee380e558,2056434fffcc87796e57ad531639bdd988f13b3259c662ae61bd45dee380e558,EXACT_DUPLICATE_RECORD,https://www.nasdaq.com/articles/3-key-reasons-buy-alibaba-stock-beyond-its-259-year-date-surge
AMZN,47,c84ed500be7257e19203460c6308351b3196af1626ad872fd4f3b0664d45881f,c84ed500be7257e19203460c6308351b3196af1626ad872fd4f3b0664d45881f,EXACT_DUPLICATE_RECORD,https://www.nasdaq.com/articles/meta-platforms-dips-14-month-buy-sell-or-hold-stock
AMZN,48,526e44ac81814b11f291586f8bf48b5b43954afc5da08ce19213a0e50136bdce,526e44ac81814b11f291586f8bf48b5b43954afc5da08ce19213a0e50136bdce,EXACT_DUPLICATE_RECORD,https://www.nasdaq.com/articles/why-nvidia-stock-remains-good-buy-despite-55b-setback
AMZN,49,62475ada6c6a0979bdd0af23df224ef3c9fc76f76d78a22743a4fd9de73a4099,62475ada6c6a0979bdd0af23df224ef3c9fc76f76d78a22743a4fd9de73a4099,EXACT_DUPLICATE_RECORD,https://www.nasdaq.com/articles/new-bill-representative-donald-norcross-introduces-hr-2692-no-tax-breaks-union-busting
AMZN,50,dcf5a5075c410e0c2fc39a3c26cb44b7a1911822fc6514469d332e3ad6d8ec68,dcf5a5075c410e0c2fc39a3c26cb44b7a1911822fc6514469d332e3ad6d8ec68,EXACT_DUPLICATE_RECORD,https://www.nasdaq.com/articles/fund-update-mn-services-vermogensbeheer-bv-just-disclosed-new-holdings
AMZN,51,2f85770b66974f22a928661410f875028bb88d19dd7a47de80e3537960a790bc,2f85770b66974f22a928661410f875028bb88d19dd7a47de80e3537960a790bc,EXACT_DUPLICATE_RECORD,https://www.nasdaq.com/articles/where-will-amazon-stock-be-5-years-3
AMZN,52,ae42fbc3c1be6c136d10faac3f404a403d2cc57c837d5e38c03e724a8e77e5a3,ae42fbc3c1be6c136d10faac3f404a403d2cc57c837d5e38c03e724a8e77e5a3,EXACT_DUPLICATE_RECORD,https://www.nasdaq.com/articles/should-vanguard-sp-500-value-etf-voov-be-your-investing-radar-4
AMZN,53,a50b87002f9b7cb96e5c492811dc75e305943d90ecae543b7bbb59bceb82fc95,a50b87002f9b7cb96e5c492811dc75e305943d90ecae543b7bbb59bceb82fc95,EXACT_DUPLICATE_RECORD,https://www.nasdaq.com/articles/roku-falls-214-ytd-should-investors-hold-or-fold-stock
AMZN,54,2f85770b66974f22a928661410f875028bb88d19dd7a47de80e3537960a790bc,2f85770b66974f22a928661410f875028bb88d19dd7a47de80e3537960a790bc,EXACT_DUPLICATE_RECORD,https://www.nasdaq.com/articles/where-will-amazon-stock-be-5-years-3
AMZN,55,19019ed718b29548606556923efd10455ecbc153537dca463c367ed4703bc29f,19019ed718b29548606556923efd10455ecbc153537dca463c367ed4703bc29f,EXACT_DUPLICATE_RECORD,https://www.nasdaq.com/articles/heres-why-amazon-amzn-strong-growth-stock-3
AMZN,56,d86e3af83394c58c1ae45f3f1c3ec31e32385fd8da9745ec31254e678d49ecaf,d86e3af83394c58c1ae45f3f1c3ec31e32385fd8da9745ec31254e678d49ecaf,EXACT_DUPLICATE_RECORD,https://www.nasdaq.com/articles/stocks-plummet-semiconductor-weakness-and-powell-comments
AMZN,57,a9eea24eb6685bbc62b38f36fa4f447da3354e213bc038d9bf6a2de2c3726bd2,a9eea24eb6685bbc62b38f36fa4f447da3354e213bc038d9bf6a2de2c3726bd2,EXACT_DUPLICATE_RECORD,https://www.nasdaq.com/articles/guru-fundamental-report-amzn-90
AMZN,58,4a3aba839a3f77bfa60ea20d5eea982180edf7f7d8e45a6318052315df8db87f,4a3aba839a3f77bfa60ea20d5eea982180edf7f7d8e45a6318052315df8db87f,EXACT_DUPLICATE_RECORD,https://www.nasdaq.com/articles/3-reasons-look-amazon-ahead-earnings
AMZN,59,6626ea97db69fc909696e1c5d62cd935960758a4b4be7bc1f2ca0796e8f7f2fa,6626ea97db69fc909696e1c5d62cd935960758a4b4be7bc1f2ca0796e8f7f2fa,EXACT_DUPLICATE_RECORD,https://www.nasdaq.com/articles/trumps-tariffs-2-growth-stocks-are-no-brainer-buys-dip
AMZN,60,62475ada6c6a0979bdd0af23df224ef3c9fc76f76d78a22743a4fd9de73a4099,62475ada6c6a0979bdd0af23df224ef3c9fc76f76d78a22743a4fd9de73a4099,EXACT_DUPLICATE_RECORD,https://www.nasdaq.com/articles/new-bill-representative-donald-norcross-introduces-hr-2692-no-tax-breaks-union-busting
AMZN,61,b434f1aa7285412dd15dd1dd9fd4452e65a111a7043568b5ee13039ce0a3c2f8,b434f1aa7285412dd15dd1dd9fd4452e65a111a7043568b5ee13039ce0a3c2f8,EXACT_DUPLICATE_RECORD,https://www.nasdaq.com/articles/noteworthy-etf-inflows-splg-amzn-meta-googl-0
AMZN,62,526e44ac81814b11f291586f8bf48b5b43954afc5da08ce19213a0e50136bdce,526e44ac81814b11f291586f8bf48b5b43954afc5da08ce19213a0e50136bdce,EXACT_DUPLICATE_RECORD,https://www.nasdaq.com/articles/why-nvidia-stock-remains-good-buy-despite-55b-setback
AMZN,63,c84ed500be7257e19203460c6308351b3196af1626ad872fd4f3b0664d45881f,c84ed500be7257e19203460c6308351b3196af1626ad872fd4f3b0664d45881f,EXACT_DUPLICATE_RECORD,https://www.nasdaq.com/articles/meta-platforms-dips-14-month-buy-sell-or-hold-stock
AMZN,64,2056434fffcc87796e57ad531639bdd988f13b3259c662ae61bd45dee380e558,2056434fffcc87796e57ad531639bdd988f13b3259c662ae61bd45dee380e558,EXACT_DUPLICATE_RECORD,https://www.nasdaq.com/articles/3-key-reasons-buy-alibaba-stock-beyond-its-259-year-date-surge
AMZN,65,e593c26e28b59f358f7127501dfe8b15a77ab486be9499a7f35d1b4cbe32d886,e593c26e28b59f358f7127501dfe8b15a77ab486be9499a7f35d1b4cbe32d886,EXACT_DUPLICATE_RECORD,https://www.nasdaq.com/articles/fund-update-mission-wealth-management-lp-just-disclosed-new-holdings
